numero,dam_key,state_code,dam_name,dam_name_clean,state,municipality,latitude,longitude,altitude_m,basin_id,basin_name,hydro_region_id,hydro_region_name,namo_oficial_mm3,name_elev_msnm,name_oficial_mm3,namo_elev_msnm,altura_cortina_m,elev_corona_msnm,inicio_operacion,corriente,uso,tipo_vertedor,nombre_comun
1,NGRAG,AG,"El Niágara, Ags.",El Niágara,Aguascalientes,Aguascalientes,21.78,-102.371667,1828,191,Presa El Niágara,12,Lerma Santiago,16.18799973,1832.400024,31.69499969,1828.400024,31.5,1833.0,1963,R. Aguascalientes,RI,Libre,"El Niágara, Ags."
2,CDRAG,AG,"La Codorniz, Ags.",La Codorniz,Aguascalientes,Calvillo,21.9975,-102.676944,1783,204,Río Juchipila 1,12,Lerma Santiago,5.366000175,1837.76001,6.527999878,1836.0,36.0,1840.0,1966,R. De La Labor,RI,Libre,"La Codorniz, Ags."
3,MNLAG,AG,"Media Luna, Ags.",Media Luna,Aguascalientes,Calvillo,21.8075,-102.788333,1585,204,Río Juchipila 1,12,Lerma Santiago,15.0,1621.959961,21.19599915,1619.199951,40.6,1624.1,1976,R. Calvillo,RI,Libre,"Media Luna, Ags."
4,ABRAG,AG,"Abelardo L. Rodríguez, Ags.",Abelardo L. Rodríguez,Aguascalientes,Jesús María,21.916944,-102.427778,1974,191,Presa El Niágara,12,Lerma Santiago,15.997,1890.0,18.816,1888.88,25.0,1890.2,1934,R. Morcinique,RI,Libre,"Abelardo L. Rodríguez, Ags."
5,PTRAG,AG,"Derivadora Pabellón, Ags.",Derivadora Pabellón,Aguascalientes,Rincón de Romos,22.235,-102.4375,2090,189,Río San Pedro,12,Lerma Santiago,2.038000107,2093.0,2.099999905,2092.600098,35.0,2099.86,1931,R. San Pedro,RI,Libre,"Derecha Potrerillos, Ags."
6,ANVAG,AG,"Cincuenta Aniversario, Ags.",Cincuenta Aniversario,Aguascalientes,San José de Gracia,22.188611,-102.464167,2050,190,Presa Calles,12,Lerma Santiago,4.1,2088.57,5.039,2086.0,39.2,89.2,,Río Blanco,AP/RI,Libre,San José de Gracia
7,JCQAG,AG,"Jocoque, Ags.",Jocoque,Aguascalientes,San José de Gracia,22.121667,-102.356944,1970,189,Río San Pedro,12,Lerma Santiago,10.97500038,1943.400024,11.39999962,1942.449951,44.0,1944.95,1929,R. San Pedro,RI,Libre,"Derecha Jocoque, Ags."
8,PECAG,AG,"Plutarco Elías Calles, Ags.",Plutarco Elías Calles,Aguascalientes,San José de Gracia,22.141111,-102.417222,2020,190,Presa Calles,12,Lerma Santiago,358.121,2022.0,407.438,2020.0,67.0,2022.6,1931,R. Santiago,AP/RI,Libre,"Calles, Ags."
9,ELZBN,BN,"Emilio López Zamora, B.C.","Emilio López Zamora, B.C.",Baja California,Ensenada,31.890278,-116.6025,70,4,Ensenada-El Gallo,1,B.C.Noroeste,2.732000113,25.26000023,6.342000008,19.88999939,34.0,27.0,1978,A. Ensenada,AP,Libre,"Ensenada, B.C."
10,AURBN,BN,"Las Auras, B.C.","Las Auras, B.C.",Baja California,Tecate,32.544722,-116.531667,0,1,Tijuana,1,B.C.Noroeste,5.01,822.0,5.1,820.0,40.0,822.0,,A. Las Auras,AP,Libre,
